Location,Check-in Date,Check-out Date,Hotel Name,Room Type,Price (USD)
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Candlewood Suites: Auburn,1 Queen Studio Suite,"9,434"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Candlewood Suites: Auburn,Studio Suite,"9,434"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Candlewood Suites: Auburn,1 King Studio Suite,"10,227"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Candlewood Suites: Auburn,2 Queen Studio Suite,"10,227"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Auburn - University Area,1 King Bed Standard,"11,812"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Auburn - University Area,2 Queen Beds Standard,"12,605"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Auburn - University Area,Standard Room,"13,794"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Auburn - University Area,1 King Suite Addl Living Area Sofa Bed,"14,587"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Auburn - University Area,1 Queen Bed Suite Addl Living Area,"14,587"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Auburn - University Area,2 Queen Beds Suite Addl Living Area,"14,983"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Auburn - University Area,1 King Bed 1 Bedroom Suite,"14,983"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Auburn - University Area,1 King Bed 1 Bedroom Suite Sofa Bed,"16,569"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,avid hotels: Auburn - University Area,1 King Bed Standard,"9,038"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,avid hotels: Auburn - University Area,2 Queen Beds Standard,"9,038"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,avid hotels: Auburn - University Area,Standard Room,"9,038"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Staybridge Suites: Auburn – University Area,2 Queen Studio Suite Kitchen Area,"14,191"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Staybridge Suites: Auburn – University Area,Studio Suite,"14,983"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Opelika Auburn,2 Queen Standard,"13,001"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Opelika Auburn,1 King Standard Walk In Shower,"13,794"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Opelika Auburn,1 Queen Ste Sofa Bed Living Area Wet Bar,"14,191"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Opelika Auburn,Standard Room,"14,587"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Opelika Auburn,1 King Suite Sofa Bed Living Area,"15,380"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Phenix City - Ft. Moore,2 Queen Standard,"11,020"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Phenix City - Ft. Moore,1 King Standard,"11,812"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Phenix City - Ft. Moore,1 King Suite Additional Living Sofa Bed,"13,398"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Phenix City - Ft. Moore,Standard Room,"13,398"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Hotel Indigo: Columbus at Riverfront Place,2 Queen Beds Standard,"17,362"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Hotel Indigo: Columbus at Riverfront Place,Standard Room,"17,362"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Hotel Indigo: Columbus at Riverfront Place,1 King Bed Standard Minifridge,"18,551"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Hotel Indigo: Columbus at Riverfront Place,2 Queen Beds Standard River View,"19,344"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Hotel Indigo: Columbus at Riverfront Place,1 King Bed Standard River View,"19,740"
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Hotel Indigo: Columbus at Riverfront Place,1 King Bed Premium,"25,289"
