Location,Check-in Date,Check-out Date,Hotel Name,Room Type,Price
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Candlewood Suites: Baton Rouge - College Drive,1 Queen Bed Studio Suite,104
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Candlewood Suites: Baton Rouge - College Drive,1 King Bed Studio Suite,109
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Candlewood Suites: Baton Rouge - College Drive,2 Queen Beds Studio Suite,113
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Candlewood Suites: Baton Rouge - College Drive,Studio Suite,123
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Hotel Indigo: Baton Rouge Downtown,1 Queen Standard,142
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Hotel Indigo: Baton Rouge Downtown,2 Double Standard City View,147
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Hotel Indigo: Baton Rouge Downtown,1 King Standard City View,151
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Hotel Indigo: Baton Rouge Downtown,Standard Room,151
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Hotel Indigo: Baton Rouge Downtown,2 Double Standard River View,156
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Hotel Indigo: Baton Rouge Downtown,1 King Standard River View,161
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Crowne Plaza: Executive Center Baton Rouge,1 King Standard Hideaway,112
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Crowne Plaza: Executive Center Baton Rouge,2 Queen Standard Hideaway,112
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Crowne Plaza: Executive Center Baton Rouge,1 King Standard,131
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Crowne Plaza: Executive Center Baton Rouge,2 Queen Standard,131
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Crowne Plaza: Executive Center Baton Rouge,Standard Room,131
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Crowne Plaza: Executive Center Baton Rouge,1 King Standard Pool View,141
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Crowne Plaza: Executive Center Baton Rouge,2 Queen Standard Pool View,141
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Crowne Plaza: Executive Center Baton Rouge,1 King Premium Pool View Balcony,160
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Crowne Plaza: Executive Center Baton Rouge,1 King Premium Balcony,160
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Crowne Plaza: Executive Center Baton Rouge,2 Queen Premium Balcony,160
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Crowne Plaza: Executive Center Baton Rouge,2 Queen Premium Pool View Balcony,169
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Crowne Plaza: Executive Center Baton Rouge,1 King Junior Suite,188
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Crowne Plaza: Executive Center Baton Rouge,1 Bedroom Suite,217
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Crowne Plaza: Executive Center Baton Rouge,1 Bedroom Suite Balcony,226
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Crowne Plaza: Executive Center Baton Rouge,1 Bedroom Suite Dining Kitchenette,369
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn: Baton Rouge College Drive I-10,1 King Standard,118
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn: Baton Rouge College Drive I-10,2 Queen Standard Non Smoking,118
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn: Baton Rouge College Drive I-10,2 Queen Standard Top Floor,118
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn: Baton Rouge College Drive I-10,1 King Standard Top Floor,128
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn: Baton Rouge College Drive I-10,Standard Room,128
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn: Baton Rouge College Drive I-10,1 King Suite,147
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn: Baton Rouge College Drive I-10,1 King Premium,156
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn: Baton Rouge College Drive I-10,1 King Premium Top Floor,156
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn: Baton Rouge College Drive I-10,1 King 1 Bedroom Suite Top Floor,175
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn: Baton Rouge-South,1 King Standard,104
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn: Baton Rouge-South,2 Queen Standard,104
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn: Baton Rouge-South,Standard Room,104
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge -Port Allen,1 King Bed Standard,118
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge -Port Allen,2 Queen Beds Standard,118
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge -Port Allen,Standard Room,118
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge -Port Allen,2 Queen Beds Suite Sofa Bed,128
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge -Port Allen,1 King Bed Suite Sofa Bed,128
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge -Port Allen,2 Queen Suite Sofa Bed,132
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge -Port Allen,1 King Bed Suite,132
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge East,2 Queen Standard,113
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge East,1 King Standard,118
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge East,1 King Suite,132
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge East,Standard Room,132
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge East,2 Queen Suite,137
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge East,1 Bedroom Suite,147
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge North,1 King Bed Standard,137
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge North,2 Queen Beds Standard,137
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge North,Standard Room,147
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge North,1 King Bed Suite Wet Bar Sofa Bed,156
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge North,2 Queen Beds Suite,166
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Baton Rouge North,1 King Bed Suite Sofa Bed,166
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Gonzales,1 King Bed Standard,155
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Gonzales,2 Queen Beds Standard,155
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Gonzales,Standard Room,155
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Gonzales,1 King Bed Suite,164
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express & Suites: Gonzales,2 Queen Beds Suite,164
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn: Gonzales,2 Queen Standard Walk In Shower,132
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn: Gonzales,Standard Room,132
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn: Gonzales,1 King Standard Walk In Shower,142
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn: Gonzales,1 King Standard Additional Dining Area,142
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn: Gonzales,2 Queen Standard Additional Dining Area,142
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Candlewood Suites: Gonzales - Baton Rouge Area,1 Queen Studio Suite,118
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Candlewood Suites: Gonzales - Baton Rouge Area,1 King Studio Suite,137
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Candlewood Suites: Gonzales - Baton Rouge Area,2 Queen Studio Suite,137
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Candlewood Suites: Gonzales - Baton Rouge Area,Studio Suite,137
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Candlewood Suites: Gonzales - Baton Rouge Area,1 Bedroom Suite,147
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express: Donaldsonville,1 King Bed Standard,132
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express: Donaldsonville,2 Queen Beds Standard,132
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express: Donaldsonville,2 Queen Beds Suite Sofa Bed,147
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express: Donaldsonville,1 King Bed Suite Sofa Bed,147
"Baton Rouge, LA, USA",07/03/2024,07/04/2024,Holiday Inn Express: Donaldsonville,Standard Room,204
